sample 	Nreads	passed	passed.w.trim	passed.total
CD_16	11959175	11196830	0	11196830
CD_17	11020770	10344068	0	10344068
CD_18	11592454	10357417	0	10357417
CD_19	10675426	9581491	0	9581491
CD_20	10327431	9441727	0	9441727
CD_21	10039325	9068098	0	9068098
CD_22	2221577	2077847	0	2077847
CD_23	11921318	10981210	0	10981210
CD_24	11105876	10223493	0	10223493
CD_25	9255086	8115838	0	8115838
CD_26	8480302	7958842	0	7958842
CD_27	10146772	9456893	0	9456893
CD_28	11601677	10374710	0	10374710
CD_29	10521535	9505823	0	9505823
CD_30	9192934	8412033	0	8412033
CD_31	7288778	6607138	0	6607138
CD_32	2829043	2656573	0	2656573
CD_34	10044508	9319206	0	9319206
CD_35	12203689	11202373	0	11202373
CD_37	7469033	6542554	0	6542554
CN_10	8588859	7466382	0	7466382
CN_11	9979184	9359353	0	9359353
CN_12	13221374	12332777	0	12332777
CN_14	9288360	8361507	0	8361507
CN_15	8356322	7585901	0	7585901
CN_16	3691593	3455185	0	3455185
CN_17	3137098	2939443	0	2939443
CN_18	5726620	5278829	0	5278829
CN_19	9760846	9016605	0	9016605
CN_2	10421696	9762891	0	9762891
CN_3	9478728	8454101	0	8454101
CN_4	15002809	13512986	0	13512986
CN_5	9599266	8719431	0	8719431
CN_6	4519666	4224774	0	4224774
CN_7	10282003	9568896	0	9568896
CN_8	10273590	9453451	0	9453451
CN_9	10124014	9320289	0	9320289
ED_1	7990223	7093462	0	7093462
ED_10	6616408	6134983	0	6134983
ED_11	12839785	11721568	0	11721568
ED_12	9016077	8006543	0	8006543
ED_13	6058424	5340837	0	5340837
ED_14	6869475	6467245	0	6467245
ED_15	9091413	8558763	0	8558763
ED_16	10409007	9915607	0	9915607
ED_17	6717844	6402626	0	6402626
ED_18	8473972	7687894	0	7687894
ED_19	8653068	7917230	0	7917230
ED_2	8357172	7433097	0	7433097
ED_20	7041022	6529328	0	6529328
ED_21	10978163	10028199	0	10028199
ED_4	10497307	9904105	0	9904105
ED_5	5972681	5622340	0	5622340
ED_6	7216713	6882998	0	6882998
ED_7	9094694	8647638	0	8647638
ED_8	11716770	10607818	0	10607818
ED_9	8606267	7969925	0	7969925
EN_1	7600514	6691789	0	6691789
EN_10	6496892	5861744	0	5861744
EN_11	8585260	7670512	0	7670512
EN_12	4905766	4345847	0	4345847
EN_13	6072408	5711207	0	5711207
EN_14	9235743	8683507	0	8683507
EN_15	5755473	5483995	0	5483995
EN_16	10053611	9127460	0	9127460
EN_17	10406026	9432979	0	9432979
EN_18	6532541	6038456	0	6038456
EN_19	4666035	4316734	0	4316734
EN_2	8009865	7124682	0	7124682
EN_20	9810332	8847944	0	8847944
EN_3	5128645	4814586	0	4814586
EN_4	5736302	5430902	0	5430902
EN_5	8038342	7661809	0	7661809
EN_6	12003686	10910688	0	10910688
EN_7	12194135	11023685	0	11023685
EN_8	8263595	7625958	0	7625958
EN_9	6690946	6172174	0	6172174
ID_1	8713925	7576403	0	7576403
ID_10	6258538	5800698	0	5800698
ID_11	7099878	6221125	0	6221125
ID_12	5724156	5055610	0	5055610
ID_13	8124337	7235608	0	7235608
ID_14	6880491	6517458	0	6517458
ID_15	7426328	7094748	0	7094748
ID_16	3794519	3606438	0	3606438
ID_17	2685038	2421224	0	2421224
ID_18	7398053	6766479	0	6766479
ID_19	23516977	21675315	0	21675315
ID_2	6811874	6056343	0	6056343
ID_20	13745889	12760722	0	12760722
ID_3	2692610	2384988	0	2384988
ID_4	7244617	6851679	0	6851679
ID_5	8569889	8177283	0	8177283
ID_6	10960287	10445789	0	10445789
ID_7	7163102	6475614	0	6475614
ID_8	8418650	7647543	0	7647543
ID_9	8560966	7925739	0	7925739
IN_1	5970682	5096983	0	5096983
IN_10	9504777	8792905	0	8792905
IN_11	8070648	7062995	0	7062995
IN_12	5599744	4997715	0	4997715
IN_13	4790784	4517100	0	4517100
IN_14	6904134	6499335	0	6499335
IN_15	8899131	8449985	0	8449985
IN_16	7826640	7426236	0	7426236
IN_17	9830785	8864314	0	8864314
IN_18	7359709	6677008	0	6677008
IN_19	6191094	5715232	0	5715232
IN_2	6553427	5828565	0	5828565
IN_20	13508381	12098414	0	12098414
IN_3	3907452	3682703	0	3682703
IN_4	8247084	7801517	0	7801517
IN_5	9920918	9446851	0	9446851
IN_6	10093831	9624350	0	9624350
IN_7	7368928	6679115	0	6679115
IN_8	8311476	7543501	0	7543501
IN_9	7491745	6904942	0	6904942
TD_1	9948365	8984909	0	8984909
TD_10	13091136	11910588	0	11910588
TD_11	14399784	13124471	0	13124471
TD_12	7242008	6463045	0	6463045
TD_13	14761721	13418586	0	13418586
TD_14	8949027	8053779	0	8053779
TD_15	11383011	10165772	0	10165772
TD_16	5788129	5140145	0	5140145
TD_17	8412620	7483084	0	7483084
TD_18	12447262	11347673	0	11347673
TD_2	6946217	6287455	0	6287455
TD_20	9615361	8805115	0	8805115
TD_22	10155516	9279788	0	9279788
TD_24	10714441	9859129	0	9859129
TD_4	9023410	8150527	0	8150527
TD_5	11731167	10432084	0	10432084
TD_6	9015940	8020880	0	8020880
TD_7	7678477	6880522	0	6880522
TD_8	8024261	7140997	0	7140997
TD_9	8270708	7556223	0	7556223
TN_1	9480209	8560219	0	8560219
TN_10	7032613	6462320	0	6462320
TN_11	7391047	6782720	0	6782720
TN_13	7963531	7314317	0	7314317
TN_14	7608619	6776643	0	6776643
TN_15	11336057	10220733	0	10220733
TN_17	6740685	5962271	0	5962271
TN_18	7995899	7162967	0	7162967
TN_19	5780248	5145320	0	5145320
TN_2	6734536	6120802	0	6120802
TN_21	4335824	3860380	0	3860380
TN_22	5887952	5371869	0	5371869
TN_23	10316919	9376173	0	9376173
TN_25	11538232	10495297	0	10495297
TN_27	9491053	8631933	0	8631933
TN_3	5371407	4775749	0	4775749
TN_5	4963700	4422914	0	4422914
TN_6	8710798	7773131	0	7773131
TN_7	8204712	7281553	0	7281553
TN_9	11563845	10564751	0	10564751
WD_1	4685347	4389682	0	4389682
WD_10	6985334	6080591	0	6080591
WD_11	9124463	8530911	0	8530911
WD_12	14998984	13986994	0	13986994
WD_13	7232642	6475370	0	6475370
WD_14	10045020	9071669	0	9071669
WD_15	8121297	7414582	0	7414582
WD_16	3653794	3423508	0	3423508
WD_17	2933396	2753231	0	2753231
WD_18	10686295	9671776	0	9671776
WD_19	11954155	11033237	0	11033237
WD_2	4272813	4008757	0	4008757
WD_20	6457948	5722997	0	5722997
