taxa	H	E
CD_22	0.00620949	0.0029534	
WD_2	0.00609732	0.00311296	
WD_1	0.00611965	0.00301525	
CN_17	0.00589602	0.00159151	
WD_17	0.00538372	0.00234951	
WD_6	0.00551327	0.00239175	
ID_17	0.00397245	0.00172408	
WD_7	0.00514919	0.00167896	
TN_21	0.0054634	0.00160759	
WD_3	0.00575282	0.00292871	
WN_16	0.00516739	0.00169838	
WD_9	0.00583811	0.00194412	
WD_8	0.00533727	0.00164917	
ID_16	0.00454092	0.00157246	
CN_16	0.00520955	0.00161207	
WD_16	0.00526817	0.00193403	
ID_3	0.00430046	0.00166495	
CD_32	0.00444635	0.00165923	
TD_2	0.004227	0.00103808	
CN_18	0.0051102	0.00146106	
TN_22	0.0050785	0.00145542	
IN_3	0.00451376	0.00154295	
EN_15	0.00477375	0.00128872	
TD_16	0.00556242	0.00126286	
TN_19	0.005335	0.00143051	
CN_6	0.00454545	0.00161749	
TD_9	0.00551056	0.00107385	
TN_10	0.00519462	0.00132635	
WD_5	0.00549451	0.0016823	
TN_2	0.00496576	0.00116491	
WN_9	0.00489411	0.00156804	
EN_19	0.00449824	0.00158755	
TN_5	0.00403745	0.00095699	
IN_13	0.00448265	0.00150171	
WN_6	0.00460862	0.00143262	
ED_17	0.00475445	0.00101046	
WN_8	0.00559605	0.00140607	
WD_4	0.00570001	0.00192002	
TN_11	0.00515583	0.00133754	
EN_3	0.00479908	0.0010516	
TN_3	0.00497011	0.00159915	
ID_15	0.00467268	0.00104147	
EN_12	0.00464662	0.0016289	
WD_10	0.00506976	0.00184818	
ED_6	0.00469696	0.00117737	
EN_4	0.00456411	0.00143782	
IN_16	0.00476893	0.00107685	
EN_13	0.00465557	0.00132375	
ED_5	0.00468106	0.00139527	
EN_5	0.00468044	0.00100609	
WN_2	0.00533093	0.00154577	
TN_14	0.00485929	0.00133815	
ID_5	0.00461181	0.00103664	
EN_9	0.00457929	0.0013824	
WN_10	0.00476522	0.00175231	
TN_13	0.00492094	0.00103537	
IN_12	0.00378788	0.00158933	
IN_19	0.004185	0.0013882	
ID_10	0.0044007	0.00150056	
EN_10	0.00430921	0.00157452	
ID_12	0.00443874	0.00160424	
WN_7	0.00477684	0.00152013	
EN_18	0.00455005	0.00137552	
IN_15	0.00468127	0.0009074	
TD_17	0.00534555	0.00120031	
ID_14	0.00461952	0.00137662	
WN_15	0.00533835	0.00152199	
WN_17	0.00520259	0.00154995	
WN_3	0.00515469	0.00160215	
ED_7	0.00479475	0.00096198	
ED_10	0.00449753	0.00148374	
IN_14	0.00454973	0.00106963	
ED_14	0.00471305	0.00101899	
ED_13	0.0042735	0.00159252	
ID_18	0.00471883	0.00129107	
ID_4	0.00458097	0.00118235	
IN_1	0.00457662	0.0017251	
TN_23	0.00511147	0.00092727	
ID_7	0.00457343	0.00141331	
IN_5	0.00442478	0.000872	
