sample 	Nreads	passed	passed.w.trim	passed.total
CD_16	11959175	9696822	0	9696822
CD_17	11020770	8981228	0	8981228
CD_18	11592454	8213600	0	8213600
CD_19	10675426	7660109	0	7660109
CD_20	10327431	8045142	0	8045142
CD_21	10039325	7652547	0	7652547
CD_22	2221577	1815993	0	1815993
CD_23	11921318	8164471	0	8164471
CD_24	11105876	7538076	0	7538076
CD_25	9255086	5992833	0	5992833
CD_26	8480302	6907044	0	6907044
CD_27	10146772	8099548	0	8099548
CD_28	11601677	8267796	0	8267796
CD_29	10521535	7637910	0	7637910
CD_30	9192934	7103161	0	7103161
CD_31	7288778	5530027	0	5530027
CD_32	2829043	2333798	0	2333798
CD_34	10044508	6994874	0	6994874
CD_35	12203689	8278124	0	8278124
CD_37	7469033	4803854	0	4803854
CN_10	8588859	5455861	0	5455861
CN_11	9979184	8109589	0	8109589
CN_12	13221374	10666274	0	10666274
CN_14	9288360	6683708	0	6683708
CN_15	8356322	6409760	0	6409760
CN_16	3691593	2997702	0	2997702
CN_17	3137098	2554041	0	2554041
CN_18	5726620	3866393	0	3866393
CN_19	9760846	6729899	0	6729899
CN_2	10421696	8443278	0	8443278
CN_3	9478728	6710284	0	6710284
CN_4	15002809	10793343	0	10793343
CN_5	9599266	7369033	0	7369033
CN_6	4519666	3701369	0	3701369
CN_7	10282003	8394545	0	8394545
CN_8	10273590	7020673	0	7020673
CN_9	10124014	6958703	0	6958703
ED_1	7990223	5774717	0	5774717
ED_10	6616408	5248004	0	5248004
ED_11	12839785	9899588	0	9899588
ED_12	9016077	6524004	0	6524004
ED_13	6058424	4324603	0	4324603
ED_14	6869475	5703285	0	5703285
ED_15	9091413	7554400	0	7554400
ED_16	10409007	8913457	0	8913457
ED_17	6717844	5765398	0	5765398
ED_18	8473972	6181425	0	6181425
ED_19	8653068	6673783	0	6673783
ED_2	8357172	6051443	0	6051443
ED_20	7041022	5605108	0	5605108
ED_21	10978163	8487614	0	8487614
ED_4	10497307	8794499	0	8794499
ED_5	5972681	4971184	0	4971184
ED_6	7216713	6192926	0	6192926
ED_7	9094694	7765411	0	7765411
ED_8	11716770	8507599	0	8507599
ED_9	8606267	6819858	0	6819858
EN_1	7600514	5386352	0	5386352
EN_10	6496892	4889005	0	4889005
EN_11	8585260	6270101	0	6270101
EN_12	4905766	3566577	0	3566577
EN_13	6072408	5031129	0	5031129
EN_14	9235743	7650108	0	7650108
EN_15	5755473	4910143	0	4910143
EN_16	10053611	7335784	0	7335784
EN_17	10406026	7593227	0	7593227
EN_18	6532541	5162991	0	5162991
EN_19	4666035	3687259	0	3687259
EN_2	8009865	5794105	0	5794105
EN_20	9810332	7423286	0	7423286
EN_3	5128645	4208809	0	4208809
EN_4	5736302	4797454	0	4797454
EN_5	8038342	6889307	0	6889307
EN_6	12003686	8784487	0	8784487
EN_7	12194135	8868341	0	8868341
EN_8	8263595	6520743	0	6520743
EN_9	6690946	5266600	0	5266600
ID_1	8713925	5513159	0	5513159
ID_10	6258538	4966401	0	4966401
ID_11	7099878	4579313	0	4579313
ID_12	5724156	4083375	0	4083375
ID_13	8124337	5886214	0	5886214
ID_14	6880491	5785495	0	5785495
ID_15	7426328	6396310	0	6396310
ID_16	3794519	3222112	0	3222112
ID_17	2685038	1938480	0	1938480
ID_18	7398053	5440362	0	5440362
ID_19	23516977	18540234	0	18540234
ID_2	6811874	4930718	0	4930718
ID_20	13745889	10947279	0	10947279
ID_3	2692610	1943611	0	1943611
ID_4	7244617	6067659	0	6067659
ID_5	8569889	7369964	0	7369964
ID_6	10960287	9396203	0	9396203
ID_7	7163102	5196250	0	5196250
ID_8	8418650	6135905	0	6135905
ID_9	8560966	6751567	0	6751567
IN_1	5970682	3641739	0	3641739
IN_10	9504777	7526057	0	7526057
IN_11	8070648	5202023	0	5202023
IN_12	5599744	4096170	0	4096170
IN_13	4790784	3987282	0	3987282
IN_14	6904134	5740769	0	5740769
IN_15	8899131	7594891	0	7594891
IN_16	7826640	6636172	0	6636172
IN_17	9830785	7109250	0	7109250
IN_18	7359709	5367017	0	5367017
IN_19	6191094	4885198	0	4885198
