
taxa	total	dpt.me	dpt.sd	d>5.tot	d>5.me	d>5.sd	badpairs
CD_16	82032	99.649	1776.119	68749	118.491	1939.563	0
CD_17	80356	95.882	1617.096	68214	112.564	1754.6	0
CD_18	83737	82.55	1430.917	68666	100.216	1579.615	0
CD_19	81294	78.694	1586.522	65347	97.373	1769.046	0
CD_20	83343	86.206	2000.621	67532	105.917	2222.054	0
CD_21	78439	85.683	2406.23	58414	114.305	2787.758	0
CD_22	36845	35.053	1142.401	18482	67.445	1612.343	0
CD_23	86493	80.419	1473.739	69022	100.245	1649.157	0
CD_24	83608	79.307	2021.251	67054	98.374	2256.594	0
CD_25	81596	65.164	1322.442	66934	78.94	1459.755	0
CD_26	84189	72.7	1639.925	69242	87.901	1807.925	0
CD_27	103417	67.56	1156.975	78668	88.097	1325.877	0
CD_28	82049	86.127	1399.052	67875	103.683	1537.63	0
CD_29	82313	79.923	1355.208	68037	96.251	1490.106	0
CD_30	104984	60.722	1434.343	76478	82.526	1680.009	0
CD_31	88992	55.838	1251.702	68147	72.231	1429.984	0
CD_32	69460	28.792	452.271	52715	37.129	518.879	0
CD_34	79671	73.585	1326.157	65463	89.099	1462.548	0
CD_35	82734	88.948	2251.761	67369	108.764	2494.943	0
CD_37	89741	48.113	994.811	67926	62.822	1143.063	0
CN_10	86834	55.469	1294.923	67284	70.922	1470.708	0
CN_11	83464	86.554	2092.482	69117	104.061	2299.035	0
CN_12	84128	111.408	2724.719	70278	132.953	2980.667	0
CN_14	79402	74.154	1716.475	65928	88.875	1883.39	0
CN_15	80805	70.2	1740.195	65545	86.05	1931.834	0
CN_16	66232	38.088	1214.52	43508	56.671	1498.155	0
CN_17	57787	36.612	1496.776	32380	63.38	1999.148	0
CN_18	60074	53.192	2003.351	40573	77.612	2437.332	0
CN_19	79465	74.904	1935.595	64841	91.31	2142.439	0
CN_2	92338	81.477	2187.894	73395	101.929	2453.633	0
CN_3	85918	69.409	1666.016	68734	86.219	1862.288	0
CN_4	126829	74.838	2230.324	87712	107.22	2681.298	0
CN_5	82596	77.985	2173.857	65570	97.681	2439.435	0
CN_6	73934	43.602	1275.594	55244	57.53	1475.419	0
CN_7	96695	76.841	2399.181	68793	107.119	2843.856	0
CN_8	83285	73.568	2272.647	63159	96.307	2609.333	0
CN_9	80477	73.528	1404.857	65595	89.729	1555.626	0
ED_1	79840	64.047	1549.921	65329	77.779	1713.129	0
ED_10	67358	68.335	1739.276	52594	86.856	1967.919	0
ED_11	78260	110.95	2969.022	65868	131.403	3235.872	0
ED_12	81347	71.408	1681.264	66929	86.323	1853.19	0
ED_13	76062	49.962	1122.565	62087	60.676	1242.245	0
