taxon               	nloci	f1loci	f2loci	nsites	npoly	poly
CN_4      	126829	87611	83369	7003153	17388	0.0024829
ID_19     	91903	75167	70804	5948741	16342	0.0027471
TD_13     	79174	67225	63879	5366571	15552	0.0028979
CN_12     	84128	70190	66867	5617529	14960	0.0026631
ID_20     	80332	66020	62551	5254873	14384	0.0027373
CD_27     	103417	78530	75170	6314325	16274	0.0025773
CD_16     	82032	68631	65405	5494672	15346	0.0027929
IN_20     	77107	65195	62133	5219742	14055	0.0026927
CD_18     	83737	68548	65246	5481162	15437	0.0028164
CD_28     	82049	67752	64533	5421270	14840	0.0027374
CD_30     	104984	76368	72859	6119908	16482	0.0026932
WD_12     	94149	69796	64879	5449563	18077	0.0033171
ED_11     	78260	65786	62790	5274894	15173	0.0028765
CD_17     	80356	68091	64848	5447764	15187	0.0027877
CD_20     	83343	67443	64107	5385282	14902	0.0027672
CN_2      	92338	73304	70009	5881119	15279	0.002598
CD_29     	82313	67916	64642	5430288	15247	0.0028078
WN_14     	83034	67144	63808	5360208	15039	0.0028057
CN_11     	83464	69036	65902	5536098	14874	0.0026867
WN_12     	83334	67875	64666	5432219	15176	0.0027937
CD_19     	81294	65234	61999	5208016	14339	0.0027533
WN_11     	81636	67771	64443	5413687	15970	0.0029499
CN_3      	85918	68648	65487	5500990	14740	0.0026795
WD_14     	84354	64678	61142	5135887	15144	0.0029487
EN_6      	78893	67973	64891	5451730	15665	0.0028734
TD_15     	87027	68490	65146	5473077	16089	0.0029397
EN_7      	79333	68173	65019	5462555	15814	0.002895
ED_21     	75149	63742	60855	5112309	14013	0.002741
ED_8      	82153	69105	65782	5526455	16541	0.0029931
CD_23     	86493	68896	65740	5522441	15396	0.0027879
CN_14     	79402	65847	62856	5280060	14069	0.0026646
CD_25     	81596	66837	63946	5371423	15101	0.0028114
CN_5      	82596	65490	62143	5219949	14585	0.0027941
CD_35     	82734	67289	64036	5379429	15429	0.0028681
TD_5      	82390	68365	65236	5480315	17198	0.0031381
WN_13     	79072	65490	62469	5247559	14722	0.0028055
WN_5      	82359	66515	63220	5310660	15467	0.0029124
TN_15     	72602	60687	57797	4855315	13618	0.0028048
CD_24     	83608	66971	63940	5371136	15501	0.002886
CD_26     	84189	69156	66164	5557885	14809	0.0026645
WD_19     	85365	66082	62623	5260567	15885	0.0030196
EN_20     	70970	60164	57485	4829058	13229	0.0027395
CN_15     	80805	65462	62357	5237960	14700	0.0028064
CN_10     	86834	67191	64305	5401300	14217	0.0026321
CD_31     	88992	68057	65025	5461774	15256	0.0027932
TD_11     	80229	68073	64807	5444594	16805	0.0030865
ED_4      	83535	69330	66097	5552789	16658	0.0029999
CD_21     	78439	58317	55100	4628257	13511	0.0029192
WN_4      	85985	63968	60416	5074532	15242	0.0030036
CD_37     	89741	67817	64995	5458977	15126	0.0027708
TN_9      	84508	71026	68068	5718345	16531	0.0028909
ED_12     	81347	66835	63758	5355755	16138	0.0030132
IN_17     	80554	67299	64354	5406276	15596	0.0028848
EN_17     	79887	67111	64049	5380624	16099	0.002992
IN_10     	74307	60154	57236	4807970	12858	0.0026743
IN_11     	77312	64479	61598	5174273	15176	0.002933
WN_18     	80155	65349	62222	5227054	15560	0.0029768
ID_1      	77483	64078	61049	5127989	15043	0.0029335
CN_7      	96695	68713	65170	5474280	16248	0.0029681
WD_18     	81710	63432	60166	5053848	15073	0.0029825
CD_34     	79671	65348	62412	5242888	14856	0.0028336
TD_14     	69980	58871	56277	4727459	12554	0.0026555
CN_9      	80477	65482	62507	5250814	14186	0.0027017
ED_2      	80430	65989	63052	5296428	15768	0.0029771
EN_11     	81457	66661	63679	5349017	16315	0.0030501
TN_25     	76543	66560	63667	5348670	16310	0.0030494
