Sample	P5 adapter	Pool	DNA	Adapters	10X T4 buffer	1.5M NaCl	T4 Ligase	Water	Total
St001.1	A01	1	31.62	1	4.00	1.00	2.0	0.38	40
St001.2	A01	1	31.62	1	4.00	1.00	2.0	0.38	40
St003.1	B01	1	25.81	1	3.30	0.82	2.0	0.07	33
St003.2	B01	1	25.81	1	3.30	0.82	2.0	0.07	33
St006.1	G01	2	27.56	1	3.50	0.88	2.0	0.07	35
St006.2	G01	2	27.56	1	3.50	0.88	2.0	0.07	35
St015.1	H01	2	25.91	1	3.40	0.85	2.0	0.84	34
St015.2	H01	2	25.91	1	3.40	0.85	2.0	0.84	34
St016.1	E01	3	30.04	1	3.80	0.95	2.0	0.21	38
St016.2	E01	3	30.04	1	3.80	0.95	2.0	0.21	38
St019.1	F01	3	27.42	1	3.50	0.88	2.0	0.20	35
St019.2	F01	3	27.42	1	3.50	0.88	2.0	0.20	35
St037.1	C01	1	26.40	1	3.40	0.85	2.0	0.35	34
St037.2	C01	1	26.40	1	3.40	0.85	2.0	0.35	34
St039.1	D01	1	30.50	1	3.90	0.97	2.0	0.62	39
St039.2	D01	1	30.50	1	3.90	0.97	2.0	0.62	39
St043.1	A01	2	29.55	1	3.80	0.95	2.0	0.70	38
St043.2	A01	2	29.55	1	3.80	0.95	2.0	0.70	38
St044.1	B01	2	30.00	1	3.80	0.95	2.0	0.25	38
St044.2	B01	2	30.00	1	3.80	0.95	2.0	0.25	38
St049.1	G01	3	36.62	1	4.60	1.15	2.0	0.63	46
St049.2	G01	3	36.62	1	4.60	1.15	2.0	0.63	46
St050.1	H01	3	29.37	1	3.70	0.93	2.0	0.00	37
St050.2	H01	3	29.37	1	3.70	0.93	2.0	0.00	37
Bl065.1	E01	1	34.56	1	4.30	1.07	2.0	0.06	43
Bl065.2	E01	1	34.56	1	4.30	1.07	2.0	0.06	43
Bl076.1	F01	1	34.42	1	4.30	1.07	2.0	0.20	43
Bl076.2	F01	1	34.42	1	4.30	1.07	2.0	0.20	43
Bl080.1	C01	2	32.20	1	4.10	1.02	2.0	0.67	41
Bl080.2	C01	2	32.20	1	4.10	1.02	2.0	0.67	41
Bl083.1	D01	2	35.64	1	4.50	1.12	2.0	0.73	45
Bl104.1	A01	3	29.23	1	3.70	0.93	2.0	0.14	37
Bl104.2	A01	3	29.23	1	3.70	0.93	2.0	0.14	37
Bl108.1	B01	3	29.49	1	3.80	0.95	2.0	0.76	38
Bl108.2	B01	3	29.49	1	3.80	0.95	2.0	0.76	38
Bl091.1	G01	1	35.92	1	4.50	1.12	2.0	0.45	45
Bl091.2	G01	1	35.92	1	4.50	1.12	2.0	0.45	45
Bl093.1	H01	1	37.50	1	4.70	1.18	2.0	0.62	47
Bl093.2	H01	1	37.50	1	4.70	1.18	2.0	0.62	47
Bl094.1	E01	2	31.89	1	4.00	1.00	2.0	0.11	40
Bl094.2	E01	2	31.89	1	4.00	1.00	2.0	0.11	40
Bl095.1	F01	2	34.66	1	4.40	1.10	2.0	0.84	44
Bl095.2	F01	2	34.66	1	4.40	1.10	2.0	0.84	44
Bl098.1	C01	3	34.81	1	4.40	1.10	2.0	0.69	44
Bl098.2	C01	3	34.81	1	4.40	1.10	2.0	0.69	44
Bl116.1	D01	3	24.55	1	3.20	0.80	2.0	0.45	32
Bl116.2	D01	3	24.55	1	3.20	0.80	2.0	0.45	32
