Sample	P5 Adapter	P5 (µl)	P7 (µl)	Annealing buffer (µl)	Total (µl)
St001.1	A01	8.30	2.00	3.70	14.00
St001.2	A01	8.30	2.00	3.70	14.00
St003.1	B01	8.30	2.00	3.70	14.00
St003.2	B01	8.30	2.00	3.70	14.00
St006.1	G01	8.30	2.00	3.70	14.00
St006.2	G01	8.30	2.00	3.70	14.00
St015.1	H01	8.30	2.00	3.70	14.00
St015.2	H01	8.30	2.00	3.70	14.00
St016.1	E01	8.30	2.00	3.70	14.00
St016.2	E01	8.30	2.00	3.70	14.00
St019.1	F01	8.30	2.00	3.70	14.00
St019.2	F01	8.30	2.00	3.70	14.00
St037.1	C01	8.30	2.00	3.70	14.00
St037.2	C01	8.30	2.00	3.70	14.00
St039.1	D01	8.30	2.00	3.70	14.00
St039.2	D01	8.30	2.00	3.70	14.00
St043.1	A01	8.30	2.00	3.70	14.00
St043.2	A01	8.30	2.00	3.70	14.00
St044.1	B01	8.30	2.00	3.70	14.00
St044.2	B01	8.30	2.00	3.70	14.00
St049.1	G01	8.30	2.00	3.70	14.00
St049.2	G01	8.30	2.00	3.70	14.00
St050.1	H01	8.30	2.00	3.70	14.00
St050.2	H01	8.30	2.00	3.70	14.00
Bl065.1	E01	8.30	2.00	3.70	14.00
Bl065.2	E01	8.30	2.00	3.70	14.00
Bl076.1	F01	8.30	2.00	3.70	14.00
Bl076.2	F01	8.30	2.00	3.70	14.00
Bl080.1	C01	8.30	2.00	3.70	14.00
Bl080.2	C01	8.30	2.00	3.70	14.00
Bl083.1	D01	8.30	2.00	3.70	14.00
Bl104.1	A01	8.30	2.00	3.70	14.00
Bl104.2	A01	8.30	2.00	3.70	14.00
Bl108.1	B01	8.30	2.00	3.70	14.00
Bl108.2	B01	8.30	2.00	3.70	14.00
Bl091.1	G01	8.30	2.00	3.70	14.00
Bl091.2	G01	8.30	2.00	3.70	14.00
Bl093.1	H01	8.30	2.00	3.70	14.00
Bl093.2	H01	8.30	2.00	3.70	14.00
Bl094.1	E01	8.30	2.00	3.70	14.00
Bl094.2	E01	8.30	2.00	3.70	14.00
Bl095.1	F01	8.30	2.00	3.70	14.00
Bl095.2	F01	8.30	2.00	3.70	14.00
Bl098.1	C01	8.30	2.00	3.70	14.00
Bl098.2	C01	8.30	2.00	3.70	14.00
Bl116.1	D01	8.30	2.00	3.70	14.00
Bl116.2	D01	8.30	2.00	3.70	14.00
