Sample	P5 adapter	Pool	DNA	Adapters	10X T4 buffer	1.5M NaCl	T4 Ligase	Water	Total
St001	A01	1	32.8	1.20	4.00	1.00	1.0	0.00	40.00
St003	B01	1	43.0	2.03	5.30	1.32	1.0	0.35	53.00
St006	G01	2	0.0	0.00	0.20	0.05	1.0	0.75	2.00
St015	H01	2	43.2	2.03	5.30	1.32	1.0	0.15	53.00
St016	E01	3	50.1	1.98	6.10	1.52	1.0	0.30	61.00
St019	F01	3	45.7	2.03	5.60	1.40	1.0	0.27	56.00
St037	C01	1	44.0	2.00	5.40	1.35	1.0	0.25	54.00
St039	D01	1	50.8	1.96	6.20	1.55	1.0	0.49	62.00
St043	A01	2	49.2	1.95	6.00	1.50	1.0	0.35	60.00
St044	B01	2	43.1	1.78	5.30	1.32	1.0	0.49	53.00
St049	G01	3	61.0	1.92	7.40	1.85	1.0	0.83	74.00
St050	H01	3	48.9	1.95	6.00	1.50	1.0	0.65	60.00
Bl065	E01	1	20.3	0.67	2.60	0.65	1.0	0.78	26.00
Bl076	F01	1	33.5	1.16	4.10	1.02	1.0	0.22	41.00
Bl080	C01	2	53.7	1.80	6.50	1.62	1.0	0.38	65.00
Bl083	D01	2	0.0	0.00	0.20	0.05	1.0	0.75	2.00
Bl104	A01	3	0.0	0.00	0.20	0.05	1.0	0.75	2.00
Bl108	B01	3	49.2	2.03	6.00	1.50	1.0	0.27	60.00
Bl091	G01	1	59.9	1.94	7.20	1.80	1.0	0.16	72.00
Bl093	H01	1	55.1	2.01	6.70	1.68	1.0	0.52	67.00
Bl094	E01	2	53.2	2.00	6.50	1.62	1.0	0.68	65.00
Bl095	F01	2	57.8	2.07	7.00	1.75	1.0	0.38	70.00
Bl098	C01	3	0.0	0.00	0.20	0.05	1.0	0.75	2.00
Bl116	D01	3	40.9	2.20	5.10	1.27	1.0	0.52	51.00
