#Sample	Run	Merged	Not_merged	Discarded	Total
St0001	1	331262	311332	96	642690
St0001	2	374999	320679	142	695820
St0003	1	280575	390923	118	671616
St0003	2	324474	400236	130	724840
St0006	1	967	780	0	1747
St0006	2	1106	798	0	1904
St0015	1	177363	332362	128	509853
St0015	2	209495	357587	152	567234
St0016	1	298100	321028	184	619312
St0016	2	342676	329951	182	672809
St0019	1	141725	332534	78	474337
St0019	2	164143	350124	144	514411
St0037	1	260130	325259	100	585489
St0037	2	302313	334899	112	637324
St0039	1	193829	344413	76	538318
St0039	2	224947	355611	128	580686
St0043	1	163146	298807	58	462011
St0043	2	188184	313665	96	501945
St0044	1	291036	385466	86	676588
St0044	2	332902	398652	134	731688
St0049	1	359415	262353	74	621842
St0049	2	415977	268408	140	684525
St0050	1	126328	287017	34	413379
St0050	2	145683	302941	78	448702
Bl0065	1	225901	376965	140	603006
Bl0065	2	261415	394320	168	655903
Bl0076	1	212336	420899	172	633407
Bl0076	2	246703	444078	232	691013
Bl0080	1	226466	349999	160	576625
Bl0080	2	261689	361918	130	623737
Bl0083	1	352069	306268	116	658453
Bl0083	2	401624	313287	180	715091
Bl0104	1	269818	266515	106	536439
Bl0104	2	305916	272810	122	578848
Bl0108	1	181095	298676	52	479823
Bl0108	2	208521	306432	108	515061
Bl0091	1	351675	447620	112	799407
Bl0091	2	407862	465907	178	873947
Bl0093	1	187357	497505	88	684950
Bl0093	2	219657	522247	154	742058
Bl0094	1	323185	359064	210	682459
Bl0094	2	376594	370766	314	747674
Bl0095	1	248305	327902	144	576351
Bl0095	2	287577	335543	158	623278
Bl0098	1	415108	272687	62	687857
Bl0098	2	473556	278356	186	752098
Bl0116	1	198050	321733	90	519873
Bl0116	2	229660	332411	88	562159
