	Read1		Overlap		Read2
Sequences	Variable	Total	Variable	Total	Variable	Total
1	0	0	0	0	0	0
2	0	0	0	0	0	0
3	0	0	0	0	0	0
4	1834	286703	1735	146036	2054	286703
5	1320	174755	1272	91247	1341	174755
6	702	106147	801	54837	775	106147
7	593	74160	681	38433	610	74160
8	393	53687	488	28714	390	53687
9	297	36458	289	17491	292	36458
10	210	25325	179	11031	172	25325
11	136	16423	132	7444	177	16423
12	86	11105	94	5682	106	11105
13	88	10535	63	4678	94	10535
14	38	3828	29	1995	35	3828
15	32	3231	84	3389	41	3231
16	14	1997	15	971	16	1997
17	12	1742	23	2543	13	1742
18	10	535	9	505	5	535
19	4	505	13	503	4	505
20	5	683	15	1440	9	683
21	0	0	11	534	0	0
22	2	351	3	1119	1	351
23	3	407	3	693	5	407
24	0	0	0	0	0	0
