#Sample	Clustering	ReadsDerep	ReadsClustS	Difference
StCa0001	.74	485091	259660	225431
StCa0001	.76	485091	266781	218310
StCa0001	.78	485091	273946	211145
StCa0001	.80	485091	282436	202655
StCa0001	.82	485091	292396	192695
StCa0001	.84	485091	304669	180422
StCa0001	.86	485091	319728	165363
StCa0001	.88	485091	337335	147756
StCa0001	.90	485091	358081	127010
StCa0001	.92	485091	382364	102727
StCa0001	.94	485091	410570	74521
StCa0001	.96	485091	439974	45117
StCa0001	.98	485091	468898	16193
StCa0003	.74	372814	234370	138444
StCa0003	.76	372814	241477	131337
StCa0003	.78	372814	248359	124455
StCa0003	.80	372814	255452	117362
StCa0003	.82	372814	263717	109097
StCa0003	.84	372814	272983	99831
StCa0003	.86	372814	283754	89060
StCa0003	.88	372814	295973	76841
StCa0003	.90	372814	309744	63070
StCa0003	.92	372814	326821	45993
StCa0003	.94	372814	345581	27233
StCa0003	.96	372814	358860	13954
StCa0003	.98	372814	368065	4749
StCa0006	.74	1	1	0
StCa0006	.76	1	1	0
StCa0006	.78	1	1	0
StCa0006	.80	1	1	0
StCa0006	.82	1	1	0
StCa0006	.84	1	1	0
StCa0006	.86	1	1	0
StCa0006	.88	1	1	0
StCa0006	.90	1	1	0
StCa0006	.92	1	1	0
StCa0006	.94	1	1	0
StCa0006	.96	1	1	0
StCa0006	.98	1	1	0
StCa0015	.74	255633	172197	83436
StCa0015	.76	255633	176759	78874
StCa0015	.78	255633	181277	74356
StCa0015	.80	255633	185988	69645
StCa0015	.82	255633	191197	64436
StCa0015	.84	255633	196867	58766
StCa0015	.86	255633	203216	52417
StCa0015	.88	255633	210076	45557
StCa0015	.90	255633	217404	38229
StCa0015	.92	255633	225434	30199
StCa0015	.94	255633	234693	20940
StCa0015	.96	255633	243038	12595
StCa0015	.98	255633	250978	4655
StCa0016	.74	410397	261449	148948
StCa0016	.76	410397	269152	141245
StCa0016	.78	410397	276939	133458
StCa0016	.80	410397	285088	125309
StCa0016	.82	410397	294196	116201
StCa0016	.84	410397	304232	106165
StCa0016	.86	410397	315812	94585
StCa0016	.88	410397	328718	81679
StCa0016	.90	410397	343000	67397
StCa0016	.92	410397	360410	49987
StCa0016	.94	410397	379351	31046
StCa0016	.96	410397	394509	15888
StCa0016	.98	410397	405111	5286
StCa0019	.74	201873	137428	64445
StCa0019	.76	201873	140694	61179
StCa0019	.78	201873	144170	57703
StCa0019	.80	201873	147824	54049
StCa0019	.82	201873	151737	50136
StCa0019	.84	201873	156198	45675
StCa0019	.86	201873	161006	40867
StCa0019	.88	201873	166723	35150
StCa0019	.90	201873	173113	28760
StCa0019	.92	201873	180207	21666
StCa0019	.94	201873	188156	13717
StCa0019	.96	201873	194689	7184
StCa0019	.98	201873	199211	2662
StCf0037	.74	372037	245980	126057
StCf0037	.76	372037	253329	118708
StCf0037	.78	372037	260558	111479
StCf0037	.80	372037	267949	104088
StCf0037	.82	372037	275917	96120
StCf0037	.84	372037	284719	87318
StCf0037	.86	372037	294447	77590
StCf0037	.88	372037	305388	66649
StCf0037	.90	372037	316917	55120
StCf0037	.92	372037	331444	40593
StCf0037	.94	372037	345289	26748
StCf0037	.96	372037	358603	13434
StCf0037	.98	372037	368256	3781
StCf0039	.74	266313	182975	83338
StCf0039	.76	266313	187795	78518
StCf0039	.78	266313	192887	73426
StCf0039	.80	266313	198134	68179
StCf0039	.82	266313	203727	62586
StCf0039	.84	266313	209573	56740
StCf0039	.86	266313	215784	50529
StCf0039	.88	266313	223271	43042
StCf0039	.90	266313	231621	34692
StCf0039	.92	266313	240845	25468
StCf0039	.94	266313	250784	15529
StCf0039	.96	266313	258230	8083
StCf0039	.98	266313	263665	2648
StCf0043	.74	230454	139702	90752
StCf0043	.76	230454	142938	87516
StCf0043	.78	230454	146416	84038
StCf0043	.80	230454	150271	80183
StCf0043	.82	230454	154741	75713
StCf0043	.84	230454	160364	70090
StCf0043	.86	230454	167205	63249
StCf0043	.88	230454	175106	55348
StCf0043	.90	230454	184590	45864
StCf0043	.92	230454	196034	34420
StCf0043	.94	230454	207635	22819
StCf0043	.96	230454	218339	12115
StCf0043	.98	230454	226525	3929
StCf0044	.74	396252	250133	146119
StCf0044	.76	396252	257268	138984
StCf0044	.78	396252	264628	131624
StCf0044	.80	396252	272419	123833
StCf0044	.82	396252	281041	115211
StCf0044	.84	396252	290936	105316
StCf0044	.86	396252	302291	93961
StCf0044	.88	396252	314513	81739
StCf0044	.90	396252	328871	67381
StCf0044	.92	396252	345863	50389
StCf0044	.94	396252	362976	33276
StCf0044	.96	396252	377597	18655
StCf0044	.98	396252	388815	7437
StCf0049	.74	499686	325948	173738
StCf0049	.76	499686	336479	163207
StCf0049	.78	499686	347031	152655
StCf0049	.80	499686	358033	141653
StCf0049	.82	499686	369814	129872
StCf0049	.84	499686	382435	117251
StCf0049	.86	499686	395973	103713
StCf0049	.88	499686	410710	88976
StCf0049	.90	499686	427536	72150
StCf0049	.92	499686	447584	52102
StCf0049	.94	499686	468164	31522
StCf0049	.96	499686	483877	15809
StCf0049	.98	499686	494605	5081
StCf0050	.74	181184	127550	53634
StCf0050	.76	181184	130478	50706
StCf0050	.78	181184	133492	47692
StCf0050	.80	181184	136674	44510
StCf0050	.82	181184	140180	41004
StCf0050	.84	181184	143950	37234
StCf0050	.86	181184	148282	32902
StCf0050	.88	181184	152873	28311
StCf0050	.90	181184	157695	23489
StCf0050	.92	181184	163501	17683
StCf0050	.94	181184	169725	11459
StCf0050	.96	181184	174887	6297
StCf0050	.98	181184	179288	1896
BlCa0065	.74	313186	191665	121521
BlCa0065	.76	313186	196629	116557
BlCa0065	.78	313186	201964	111222
BlCa0065	.80	313186	207930	105256
BlCa0065	.82	313186	214748	98438
BlCa0065	.84	313186	222266	90920
BlCa0065	.86	313186	231320	81866
BlCa0065	.88	313186	242097	71089
BlCa0065	.90	313186	254062	59124
BlCa0065	.92	313186	268970	44216
BlCa0065	.94	313186	284260	28926
BlCa0065	.96	313186	297553	15633
BlCa0065	.98	313186	307250	5936
BlCa0076	.74	308714	205043	103671
BlCa0076	.76	308714	210225	98489
BlCa0076	.78	308714	215525	93189
BlCa0076	.80	308714	221096	87618
BlCa0076	.82	308714	227285	81429
BlCa0076	.84	308714	233983	74731
BlCa0076	.86	308714	241845	66869
BlCa0076	.88	308714	250740	57974
BlCa0076	.90	308714	260759	47955
BlCa0076	.92	308714	271972	36742
BlCa0076	.94	308714	284548	24166
BlCa0076	.96	308714	295596	13118
BlCa0076	.98	308714	304914	3800
BlCa0080	.74	308582	204734	103848
BlCa0080	.76	308582	209922	98660
BlCa0080	.78	308582	215446	93136
BlCa0080	.80	308582	220979	87603
BlCa0080	.82	308582	227358	81224
BlCa0080	.84	308582	234630	73952
BlCa0080	.86	308582	242769	65813
BlCa0080	.88	308582	251872	56710
BlCa0080	.90	308582	261880	46702
BlCa0080	.92	308582	274312	34270
BlCa0080	.94	308582	287547	21035
BlCa0080	.96	308582	297127	11455
BlCa0080	.98	308582	304491	4091
BlCa0083	.74	520025	311615	208410
BlCa0083	.76	520025	320461	199564
BlCa0083	.78	520025	329670	190355
BlCa0083	.80	520025	339370	180655
BlCa0083	.82	520025	351117	168908
BlCa0083	.84	520025	363994	156031
BlCa0083	.86	520025	379482	140543
BlCa0083	.88	520025	396691	123334
BlCa0083	.90	520025	416883	103142
BlCa0083	.92	520025	440112	79913
BlCa0083	.94	520025	467330	52695
BlCa0083	.96	520025	491233	28792
BlCa0083	.98	520025	510055	9970
BlCa0104	.74	385900	223567	162333
BlCa0104	.76	385900	229591	156309
BlCa0104	.78	385900	235292	150608
BlCa0104	.80	385900	242471	143429
BlCa0104	.82	385900	250681	135219
BlCa0104	.84	385900	260497	125403
BlCa0104	.86	385900	272655	113245
BlCa0104	.88	385900	285982	99918
BlCa0104	.90	385900	301318	84582
BlCa0104	.92	385900	319332	66568
BlCa0104	.94	385900	340138	45762
BlCa0104	.96	385900	359556	26344
BlCa0104	.98	385900	376082	9818
BlCa0108	.74	250987	166845	84142
BlCa0108	.76	250987	171064	79923
BlCa0108	.78	250987	175392	75595
BlCa0108	.80	250987	179711	71276
BlCa0108	.82	250987	184851	66136
BlCa0108	.84	250987	190528	60459
BlCa0108	.86	250987	197145	53842
BlCa0108	.88	250987	204152	46835
BlCa0108	.90	250987	212080	38907
BlCa0108	.92	250987	222196	28791
BlCa0108	.94	250987	232164	18823
BlCa0108	.96	250987	241362	9625
BlCa0108	.98	250987	248066	2921
BlCl0091	.74	498507	331691	166816
BlCl0091	.76	498507	341826	156681
BlCl0091	.78	498507	352275	146232
BlCl0091	.80	498507	362743	135764
