#Num.gaps	T=0.74	T=0.76	T=0.78	T=0.80	T=0.82	T=0.84	T=0.86	T=0.88	T=0.90	T=0.92	T=0.94	T=0.96	T=0.98
0	4850529	4922299	5015689	5185810	5305981	5583679	5858347	6127904	6185952	5915807	5129132	3953722	2131370
1	493448	447604	452766	483355	456727	499971	522778	438420	407597	365306	353828	218885	83034
2	255562	270984	265516	264296	323613	334649	287826	223414	191259	150230	113310	62421	17675
3	184651	190439	209704	203323	253314	255828	183154	128744	104735	83496	51915	26198	15276
4	195464	203320	191273	175625	161449	149271	122792	91076	69888	54129	31413	18311	2162
5	137447	126089	122169	119412	109857	101056	101087	79969	56852	37015	19852	38785	3534
6	118624	124827	106267	122111	110527	104556	96141	105375	65781	51821	52309	30115	0
7	145302	146549	144080	117167	109093	96124	81282	74403	60053	55004	26899	5476	0
8	117507	112374	103808	105726	105161	95623	76195	87066	64348	61354	37888	14791	0
9	214457	141013	132739	120730	112934	103225	82877	66051	67811	43778	21939	4079	0
10	126038	110214	103588	90778	88060	81978	71471	78852	81112	79717	47078	1206	0
11	88668	100491	113010	98649	100103	68807	63379	53296	41346	36131	25868	90	0
12	102001	95803	93888	80720	79342	77500	65161	60358	64262	40089	11131	0	0
13	108523	108624	102722	91161	80095	65403	92108	57945	45856	24894	12255	0	0
14	68818	67086	85962	92639	86962	87723	79732	67781	56553	16736	8933	0	0
15	84133	65626	72944	72480	68241	59300	80180	78188	57923	12328	831	0	0
16	60386	101751	54492	54740	64149	75237	72547	54415	75311	25564	721	0	0
17	58710	103307	87011	95158	55961	66064	46952	57086	19877	12332	98	0	0
18	112932	171850	106735	149730	114021	97717	76641	87340	50035	4700	0	0	0
19	71630	80840	68092	96001	67049	58123	44739	43541	32593	4049	0	0	0
20	52839	51564	48212	64736	42242	47905	75464	24177	11312	1770	0	0	0
21	75718	68185	81208	55384	55498	56873	43184	25710	6384	261	0	0	0
22	44224	42778	43761	44765	63037	39501	51607	30423	19042	156	0	0	0
23	48702	51088	45915	62062	87845	66030	26488	23920	3810	30	0	0	0
24	43530	42695	78740	49925	71521	51814	42264	27116	14033	0	0	0	0
25	48013	49819	110845	106357	96381	96498	62299	47773	6436	0	0	0	0
26	94172	37748	140347	78505	94667	62032	22311	12400	1021	0	0	0	0
27	46740	40733	67671	46701	50312	40860	27982	33672	291	0	0	0	0
28	39816	64836	46902	36874	54029	43398	27428	10703	89	0	0	0	0
29	67529	36561	66010	51281	37679	15465	5927	970	7	0	0	0	0
30	95510	85170	79712	64692	22864	15009	5325	1017	0	0	0	0	0
31	133695	106616	110384	80788	35768	14762	18149	170	0	0	0	0	0
32	43684	60715	43554	49266	29645	8886	3662	78	0	0	0	0	0
33	80211	66280	26756	28147	15245	5306	935	38	0	0	0	0	0
34	84649	37421	24884	18738	10208	4091	503	12	0	0	0	0	0
35	28669	29390	21588	22475	52656	7583	1030	0	0	0	0	0	0
