	ClustNum_74	MeanDepth_74	ClustNumD3_74	MeanDepthD3_74	ClustNum_76	MeanDepth_76	ClustNumD3_76	MeanDepthD3_76	ClustNum_78	MeanDepth_78	ClustNumD3_78	MeanDepthD3_78	ClustNum_80	MeanDepth_80	ClustNumD3_80	MeanDepthD3_80	ClustNum_82	MeanDepth_82	ClustNumD3_82	MeanDepthD3_82	ClustNum_84	MeanDepth_84	ClustNumD3_84	MeanDepthD3_84	ClustNum_86	MeanDepth_86	ClustNumD3_86	MeanDepthD3_86	ClustNum_88	MeanDepth_88	ClustNumD3_88	MeanDepthD3_88	ClustNum_90	MeanDepth_90	ClustNumD3_90	MeanDepthD3_90	ClustNum_92	MeanDepth_92	ClustNumD3_92	MeanDepthD3_92	ClustNum_94	MeanDepth_94	ClustNumD3_94	MeanDepthD3_94	ClustNum_96	MeanDepth_96	ClustNumD3_96	MeanDepthD3_96	ClustNum_98	MeanDepth_98	ClustNumD3_98	MeanDepthD3_98	ClustNum_99	MeanDepth_99	ClustNumD3_99	MeanDepthD3_99
StCf0044	119322	2.178	14673	9.803	122126	2.186	15105	9.81	124990	2.199	15627	9.814	127896	2.21	16172	9.796	131346	2.231	16914	9.784	135327	2.259	17894	9.744	140988	2.294	19277	9.685	150752	2.305	21102	9.505	171157	2.206	22798	9.119	210473	1.967	23321	8.643	268601	1.703	22643	8.056	348801	1.448	19591	7.325	450820	1.198	11015	6.48	514061	1.09	4920	6.399
StCa0003	114119	2.328	15017	10.528	116815	2.336	15426	10.549	119579	2.348	15908	10.57	122371	2.365	16510	10.554	125590	2.392	17279	10.554	129460	2.427	18323	10.521	135126	2.48	19904	10.481	145272	2.5	22175	10.222	166209	2.388	24211	9.806	205399	2.115	25187	9.231	260763	1.807	24362	8.601	342372	1.514	21953	7.648	453695	1.233	13145	6.691	513679	1.106	5930	6.635
BlCl0098	42947	3.816	12162	10.237	43748	3.828	12466	10.225	44574	3.85	12805	10.223	45743	3.876	13236	10.243	47260	3.889	13773	10.212	49329	3.922	14572	10.19	52672	3.942	15795	10.104	59488	3.831	17398	9.924	74510	3.384	18938	9.533	103145	2.719	19640	9.052	146603	2.141	19614	8.429	207862	1.679	17655	7.59	294942	1.287	10614	6.629	348450	1.13	4967	6.458
StCf0037	133140	1.782	12437	8.616	136597	1.787	12822	8.631	140019	1.795	13258	8.636	143441	1.806	13749	8.653	147147	1.825	14444	8.652	151253	1.853	15319	8.671	156685	1.889	16611	8.627	165765	1.921	18328	8.54	183035	1.877	19753	8.231	212960	1.757	20258	7.921	257441	1.586	19705	7.433	316658	1.39	16679	6.772	400035	1.186	9320	6.146	450824	1.086	3910	6.283
StCa0015	145536	1.661	12849	7.54	149294	1.665	13222	7.549	153012	1.668	13627	7.548	156911	1.677	14168	7.543	161013	1.69	14821	7.539	165905	1.712	15794	7.529	171935	1.74	17027	7.513	181553	1.762	18672	7.419	200457	1.741	20171	7.241	233736	1.641	20414	7.03	278560	1.487	18536	6.712	344748	1.324	15064	6.258	430949	1.151	7433	6.01	477259	1.067	2888	6.378
StCa0006	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0
StCf0039	145048	1.741	13078	8.361	148580	1.744	13427	8.379	152218	1.752	13873	8.39	156044	1.759	14368	8.387	160146	1.773	15056	8.365	164763	1.795	15981	8.338	170772	1.825	17247	8.295	180478	1.846	18881	8.162	199009	1.81	20208	7.92	232596	1.688	20488	7.583	276486	1.514	18626	7.16	339938	1.338	15228	6.614	423494	1.159	7932	6.258	471594	1.074	3252	6.649
StCa0016	116053	1.965	13123	8.788	118950	1.969	13461	8.805	121845	1.979	13917	8.821	124950	1.992	14446	8.834	128571	2.017	15210	8.847	132620	2.051	16203	8.854	138159	2.09	17607	8.801	146848	2.108	19210	8.679	164105	2.051	20816	8.393	195670	1.885	21490	8.027	241805	1.66	20628	7.509	304687	1.425	17532	6.776	392148	1.198	9865	6.157	443333	1.091	4135	6.254
BlCa0080	119167	1.954	13404	8.708	122165	1.96	13839	8.707	125267	1.963	14252	8.698	128646	1.977	14874	8.697	132548	1.997	15645	8.688	136798	2.029	16684	8.685	141618	2.057	17811	8.655	151465	2.077	19653	8.498	171118	2.016	21293	8.217	207286	1.845	21893	7.895	260041	1.626	21220	7.352	330200	1.404	17792	6.737	422808	1.182	9245	6.251	475192	1.079	3779	6.206
StCf0049	120825	1.607	9500	7.633	123655	1.609	9777	7.627	126752	1.615	10105	7.632	129950	1.621	10466	7.636	133468	1.634	10993	7.635	137264	1.652	11583	7.66	142043	1.677	12440	7.654	149477	1.693	13505	7.552	163494	1.675	14429	7.426	187087	1.578	14356	7.15	220533	1.454	13372	6.87	264468	1.31	10816	6.468	321974	1.143	5407	5.984	353740	1.066	2204	6.239
BlCa0104	40151	3.838	12493	9.394	40905	3.853	12799	9.389	41739	3.875	13151	9.402	42777	3.897	13598	9.392	44098	3.925	14170	9.384	46060	3.965	14976	9.405	48995	3.973	16141	9.306	55127	3.847	17598	9.16	69427	3.361	18805	8.845	98837	2.634	19120	8.426	143243	2.032	18453	7.8	207965	1.591	16102	7.042	292510	1.239	8455	6.458	338534	1.099	3425	6.392
BlCl0091	202555	1.644	14352	9.372	208178	1.647	14831	9.356	213698	1.651	15299	9.363	219369	1.659	15887	9.38	225194	1.671	16671	9.346	231813	1.692	17761	9.306	239772	1.722	19290	9.258	252412	1.752	21476	9.092	275852	1.737	23432	8.812	315844	1.638	24053	8.352	374563	1.503	23595	7.785	454322	1.337	20043	7.023	562343	1.164	11258	6.436	624721	1.076	4920	6.503
StCa0019	135673	1.744	13714	7.505	138933	1.747	14071	7.512	142333	1.753	14553	7.51	145839	1.763	15114	7.505	149874	1.781	15886	7.522	154577	1.805	16913	7.516	160450	1.834	18165	7.509	169813	1.863	20003	7.439	188936	1.835	21717	7.257	223046	1.708	21908	6.994	272711	1.54	20638	6.647	337796	1.353	16221	6.269	426198	1.158	7704	5.983	474751	1.071	3002	6.532
BlCa0083	51471	3.379	12745	9.914	52418	3.397	13081	9.914	53561	3.418	13481	9.919	54978	3.439	13969	9.91	56809	3.47	14619	9.913	58901	3.519	15448	9.922	62578	3.553	16733	9.865	70456	3.495	18636	9.71	88003	3.131	20302	9.377	121685	2.54	21213	8.837	172019	2.021	20960	8.227	240529	1.581	18027	7.252	337165	1.247	10242	6.527	393239	1.11	4560	6.476
BlCa0065	98455	2.616	15875	10.465	100735	2.626	16367	10.452	103148	2.636	16865	10.454	105719	2.664	17549	10.474	108504	2.693	18378	10.454	112045	2.752	19578	10.479	118160	2.809	21543	10.372	127863	2.817	23815	10.164	148059	2.655	25944	9.752	187689	2.302	27002	9.217	247429	1.929	26977	8.519	328150	1.568	23499	7.569	445723	1.25	14182	6.584	520672	1.113	6534	6.395
BlCl0116	133351	1.79	13017	8.306	136739	1.794	13413	8.302	139929	1.8	13833	8.299	143382	1.812	14388	8.301	146915	1.828	15037	8.291	150861	1.852	15933	8.27	156307	1.879	17124	8.218	165162	1.902	18722	8.096	182716	1.862	20143	7.838	213341	1.729	20415	7.479	256540	1.555	19033	7.114	316246	1.368	15649	6.579	396659	1.166	7802	6.149	440813	1.073	3146	6.229
BlCl0093	214804	1.769	16425	10.513	220847	1.771	16908	10.523	226787	1.774	17455	10.503	232857	1.781	18138	10.476	239069	1.8	19052	10.483	245871	1.826	20327	10.434	254286	1.861	22066	10.359	267536	1.894	24617	10.114	293130	1.871	27171	9.685	333093	1.734	27100	9.18	397797	1.569	26833	8.432	491701	1.384	24037	7.494	623404	1.182	14281	6.592	709053	1.088	6561	6.639
BlCl0094	115775	2.078	13506	9.563	118674	2.082	13882	9.575	121553	2.088	14295	9.571	124552	2.107	14863	9.594	127897	2.135	15559	9.649	132154	2.17	16605	9.641	136937	2.203	17727	9.609	145606	2.223	19310	9.496	163474	2.147	20789	9.184	197748	1.942	21327	8.756	249857	1.699	21141	8.111	324852	1.458	19122	7.302	429235	1.211	11362	6.428	485249	1.095	4952	6.333
BlCa0108	102132	1.985	12933	7.991	104488	1.988	13298	7.979	106915	1.995	13697	7.982	109399	2.007	14180	7.986	112207	2.024	14774	7.996	115557	2.048	15591	7.979	119852	2.078	16698	7.941	127766	2.092	18182	7.829	143851	2.015	19244	7.603	174596	1.822	19194	7.31	219135	1.59	17746	6.852	281196	1.372	14132	6.389	361588	1.162	6590	6.193	403363	1.071	2561	6.59
BlCa0076	116418	2.292	15862	9.777	119193	2.303	16382	9.776	122227	2.311	16906	9.771	125508	2.327	17601	9.759	129099	2.355	18480	9.763	133602	2.39	19677	9.73	140553	2.437	21550	9.654	152232	2.45	24012	9.437	176484	2.332	26276	9.054	222809	2.048	27192	8.526	291596	1.743	26517	7.9	383475	1.454	22410	7.096	504674	1.199	12285	6.363	574935	1.092	5319	6.552
StCf0050	130742	1.628	11515	7.031	133996	1.629	11821	7.028	137238	1.632	12186	7.018	140654	1.64	12642	7.019	144423	1.653	13238	7.018	148815	1.673	14064	7.017	154340	1.697	15184	6.986	163060	1.723	16518	6.976	179143	1.705	17696	6.83	207146	1.613	17684	6.67	244612	1.456	15626	6.327	298849	1.299	12058	5.958	371185	1.139	5507	6.0	411869	1.064	2080	6.946
BlCl0095	109193	1.978	12339	8.873	111822	1.984	12720	8.869	114550	1.994	13141	8.887	117550	2.006	13645	8.898	120932	2.03	14346	8.911	124748	2.065	15346	8.899	130355	2.105	16696	8.859	139405	2.12	18356	8.693	158275	2.046	19889	8.372	192051	1.854	20349	7.964	242449	1.621	19550	7.384	308633	1.395	16228	6.785	393883	1.176	8319	6.302	441132	1.081	3425	6.73
StCa0001	41765	4.506	15648	9.753	42541	4.527	16022	9.759	43353	4.557	16441	9.778	44458	4.569	16957	9.756	46024	4.586	17684	9.734	48273	4.617	18719	9.727	52038	4.602	20297	9.627	59706	4.393	22344	9.413	77819	3.733	24215	8.999	114105	2.841	24845	8.524	168031	2.134	23946	7.826	240510	1.641	19946	7.173	333773	1.253	10419	6.426	395508	1.108	4336	6.514
StCf0043	44814	4.294	16369	9.451	45670	4.321	16802	9.46	46664	4.342	17290	9.459	47757	4.359	17784	9.459	49408	4.383	18537	9.458	51827	4.401	19667	9.406	55723	4.403	21264	9.345	63650	4.224	23364	9.16	81849	3.624	25198	8.774	116773	2.827	25761	8.376	162505	2.165	23895	7.825	236417	1.66	20588	7.058	340396	1.275	11531	6.432	399474	1.118	4805	6.5
