#Num.gaps	T=0.74	T=0.76	T=0.78	T=0.80	T=0.82	T=0.84	T=0.86	T=0.88	T=0.90	T=0.92	T=0.94	T=0.96	T=0.98
0	2152517	2184183	2221177	2263580	2330034	2402081	2474238	2552989	2624146	2668631	2472075	1749824	915759
1	190243	191789	194289	200030	202692	210790	215771	216128	214138	200639	163359	109234	47170
2	128529	129488	131141	132198	133931	138745	142290	141582	135758	123921	94427	60219	23163
3	94021	94891	95085	94940	92867	90855	92155	87007	78267	62737	43671	25789	6752
4	68593	68721	69519	70102	69945	70537	71082	68062	61512	49799	36052	21832	5601
5	55269	55365	55802	56084	56806	56988	57672	54025	47488	37126	25451	15490	2359
6	59741	59574	59289	59071	59465	59689	58591	53815	46964	36003	25134	13993	1834
7	47161	46762	46557	45990	46524	46114	43697	38818	31115	22724	14445	6253	280
8	54107	53795	53537	53301	53261	52748	49691	44506	38470	29152	19477	9541	269
9	47315	46411	45881	45582	44685	43875	40322	35515	28934	20987	16214	6482	52
10	50975	49811	49101	48515	47532	45897	41915	36350	29234	21183	14833	5428	13
11	44701	44161	42763	42129	41717	38858	34421	29158	21174	15048	9985	2750	0
12	47884	46836	45835	45190	44496	42433	39387	32982	25988	17954	11174	3626	0
13	41694	40836	39973	38105	36837	34613	29551	23719	17191	11151	8440	1809	0
14	42217	41827	40755	40375	36883	33266	28630	22851	17235	11456	6778	806	0
15	43581	44048	42265	39506	36396	34052	28552	21829	15607	11354	6318	418	0
16	41495	40427	38740	37935	34810	33206	27320	22645	16672	11507	4774	294	0
17	36980	35903	34022	32240	30693	27075	23102	18024	12370	10208	2737	93	0
18	40348	38850	36650	35424	33881	29918	24520	18622	13509	9426	3672	68	0
19	36439	34449	32155	30795	29732	25658	20119	14538	10206	7647	2205	30	0
20	40390	38793	36474	35961	34131	29077	23548	17720	12569	9748	2104	2	0
21	37502	35550	33663	31885	29663	25728	20079	14411	11118	8572	1575	0	0
22	36776	34685	32192	31001	28383	23665	19305	13790	10031	6093	1030	0	0
23	34193	31486	29554	27645	25308	20457	15793	10890	8415	4682	602	0	0
24	36808	34434	32648	31756	28506	24255	19741	14356	11990	5256	682	0	0
25	31700	29903	28291	25569	22433	17915	14243	10522	9220	3514	403	0	0
26	34929	34306	30617	28872	26059	22431	17677	12888	8654	2920	136	0	0
27	29815	28016	25783	24176	21098	16861	12079	9744	5687	1949	69	0	0
28	30819	28682	26389	24604	22077	17660	13266	9840	5310	1731	46	0	0
29	27212	25331	23453	21752	18543	14750	9775	6506	4322	1488	25	0	0
30	30626	28268	26109	24894	22139	18138	13455	9721	6291	2216	2	0	0
31	25780	23171	21719	19453	16658	13089	8791	5811	6178	1128	3	0	0
32	31906	29884	27255	24935	21791	17184	12439	8548	6229	1329	1	0	0
33	27644	25404	23180	21577	18224	14319	9635	6574	3602	420	0	0	0
34	27422	25967	23936	21784	18268	14347	10727	6701	3397	485	0	0	0
35	23203	21761	20744	19367	15372	10664	7642	5354	2197	245	0	0	0
