	ClustNum_74	MeanDepth_74	ClustNumD3_74	MeanDepthD3_74	ClustNum_76	MeanDepth_76	ClustNumD3_76	MeanDepthD3_76	ClustNum_78	MeanDepth_78	ClustNumD3_78	MeanDepthD3_78	ClustNum_80	MeanDepth_80	ClustNumD3_80	MeanDepthD3_80	ClustNum_82	MeanDepth_82	ClustNumD3_82	MeanDepthD3_82	ClustNum_84	MeanDepth_84	ClustNumD3_84	MeanDepthD3_84	ClustNum_86	MeanDepth_86	ClustNumD3_86	MeanDepthD3_86	ClustNum_88	MeanDepth_88	ClustNumD3_88	MeanDepthD3_88	ClustNum_90	MeanDepth_90	ClustNumD3_90	MeanDepthD3_90	ClustNum_92	MeanDepth_92	ClustNumD3_92	MeanDepthD3_92	ClustNum_94	MeanDepth_94	ClustNumD3_94	MeanDepthD3_94	ClustNum_96	MeanDepth_96	ClustNumD3_96	MeanDepthD3_96	ClustNum_98	MeanDepth_98	ClustNumD3_98	MeanDepthD3_98
StCf0044	180448	1.432	9171	7.003	184943	1.436	9451	7.038	189702	1.439	9779	7.015	194397	1.445	10122	7.034	199462	1.452	10562	7.027	204646	1.464	11132	7.024	210034	1.481	11912	6.992	215969	1.497	12703	6.967	222438	1.519	13644	6.987	231528	1.533	14517	6.992	254276	1.464	13480	6.728	303014	1.277	8212	6.716	353243	1.129	3554	7.67
StCa0003	158142	1.523	10209	7.187	162416	1.527	10516	7.217	166696	1.529	10851	7.201	170915	1.533	11234	7.182	175395	1.541	11727	7.156	179980	1.553	12365	7.126	184703	1.572	13220	7.078	189761	1.595	14165	7.055	195425	1.62	15159	7.07	203642	1.639	16238	7.05	226255	1.559	15464	6.752	278868	1.313	9335	6.463	333749	1.125	3543	7.085
BlCl0098	183510	2.034	24709	6.952	187614	2.041	25505	6.94	192079	2.05	26412	6.935	196876	2.058	27301	6.929	202394	2.072	28496	6.923	208663	2.091	29951	6.918	215513	2.117	31747	6.914	223024	2.146	33848	6.903	231798	2.172	35894	6.917	244906	2.182	38267	6.895	280130	2.034	38306	6.639	361690	1.677	31145	6.353	466667	1.38	20894	6.319
StCf0037	188519	1.337	7621	6.609	193558	1.341	7910	6.617	198644	1.343	8182	6.61	203662	1.346	8500	6.591	208779	1.352	8844	6.586	213838	1.361	9320	6.568	218796	1.375	9962	6.539	223821	1.393	10675	6.558	229253	1.411	11443	6.556	236678	1.428	12208	6.602	255046	1.38	11158	6.393	295475	1.237	6665	6.447	338038	1.11	2826	7.309
StCa0015	145332	1.212	2945	6.241	148918	1.214	3042	6.237	152435	1.216	3130	6.217	155956	1.219	3261	6.209	159668	1.223	3402	6.236	163592	1.229	3586	6.199	167640	1.237	3804	6.186	171705	1.248	4100	6.189	176135	1.258	4385	6.206	181618	1.265	4624	6.205	192408	1.243	4228	6.36	212883	1.163	2649	7.013	233808	1.094	1564	7.988
StCa0006	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0	1	1.0	0	0.0
StCf0039	142716	1.309	5304	6.36	146206	1.311	5457	6.372	149898	1.313	5632	6.368	153610	1.315	5813	6.372	157287	1.321	6051	6.366	160971	1.327	6323	6.343	164427	1.337	6659	6.32	168317	1.35	7058	6.336	172523	1.366	7537	6.371	177918	1.377	7975	6.386	190439	1.339	7261	6.335	217536	1.207	4290	6.435	245122	1.094	1854	7.184
StCa0016	191350	1.403	9660	6.672	196501	1.405	10002	6.672	201568	1.409	10363	6.666	206834	1.413	10748	6.647	211982	1.421	11305	6.627	217420	1.432	11936	6.603	222917	1.449	12775	6.58	228585	1.47	13735	6.577	234966	1.492	14692	6.606	243813	1.509	15690	6.627	267303	1.449	14269	6.475	318959	1.262	8280	6.49	371336	1.114	3244	7.395
BlCa0080	158844	1.319	6171	6.344	162540	1.321	6383	6.321	166212	1.325	6575	6.347	169856	1.329	6815	6.34	173751	1.337	7120	6.345	177918	1.347	7517	6.348	182374	1.359	8009	6.301	186961	1.374	8576	6.276	191861	1.391	9145	6.321	198596	1.407	9716	6.4	215171	1.361	8739	6.361	249418	1.213	5044	6.46	282593	1.097	2193	7.398
StCf0049	241209	1.379	11682	6.818	248587	1.38	12110	6.813	255671	1.383	12538	6.818	262908	1.388	13045	6.815	270017	1.395	13662	6.815	276878	1.406	14451	6.795	283511	1.421	15476	6.743	289802	1.441	16655	6.727	296520	1.466	17936	6.763	306253	1.485	19046	6.803	331970	1.433	17737	6.618	389645	1.261	11012	6.377	452938	1.11	4102	6.855
