## Tot.Pairs: Total number of read pairs.
## Conc.Uniq.: Uniquely and concordantly mapped pairs.
## Conc.Mult.: Multiply and concordantly mapped pairs.
## Discord.:  Discordantly mapped pairs.
## Un.Pairs: Unmapped pairs.
## Un.Mates: Reads or mates from unmapped pairs that do not map either as single reads.
## Uniq.Mates: Mates from unmapped pairs that map uniquely as single reads.
## Mult.Mates: Mates from unmapped pairs that map ambiguously as single reads.
## Overall: Overall mapping rate.
# Sample	Tot.Pairs	Conc.Uniq.	Conc.Mult.	Discord.	Un.Pairs	Un.Mates	Uniq.Mates	Mult.Mates	Overall
Bl0093	  1004673	    136554	     39669	   14269	  814181	  779105	    192590	    656667	     61
Bl0091	   895223	    134870	     40072	   11821	  708460	  690222	    166661	    560037	     61
Bl0076	   848098	    136524	     40366	   13042	  658166	  588090	    159216	    569026	     65
St0003	   777321	    137275	     41381	   10447	  588218	  553593	    141253	    481590	     64
St0044	   771016	    127203	     37335	   12075	  594403	  552403	    150314	    486089	     64
Bl0065	   760077	    149932	     43751	    9838	  556556	  498917	    130565	    483630	     67
Bl0094	   717395	    147049	     46465	    9052	  514829	  459694	    119570	    450394	     67
Bl0080	   698986	    115210	     34686	    9931	  539159	  491150	    129732	    457436	     64
St0039	   680602	     97775	     28362	   10283	  544182	  520855	    134325	    433184	     61
St0015	   679480	     93136	     26573	   10199	  549572	  508312	    133311	    457521	     62
St0019	   672654	     90923	     25898	    9534	  546299	  497710	    126289	    468599	     63
Bl0095	   650144	    127340	     40688	    8341	  473775	  425743	    110794	    411013	     67
St0037	   649201	    106493	     32100	    8858	  501750	  473535	    119386	    410579	     63
St0016	   640088	    123969	     38415	    8094	  469610	  431977	    110136	    397107	     66
Bl0116	   636846	     93973	     27294	    8971	  506608	  495692	    121909	    395615	     61
St0001	   618254	    122299	     35450	    8908	  451597	  403841	    111538	    387815	     67
Bl0083	   606179	    135697	     42517	    7600	  420365	  363381	     97058	    380291	     70
St0043	   599883	    108785	     30465	    9041	  451592	  411592	    111200	    380392	     65
Bl0108	   595213	     92575	     26050	    8550	  468038	  438170	    112016	    385890	     63
St0050	   580608	     76098	     21290	    8977	  474243	  439718	    116462	    392306	     62
Bl0098	   542450	    128789	     39966	    6641	  367054	  320529	     88622	    324957	     70
Bl0104	   528936	    115814	     35994	    7082	  370046	  319699	     89306	    331087	     69
St0049	   518165	     96069	     29560	    6486	  386050	  375593	     93645	    302862	     63
