## Tot.Reads: Total number of reads.
## Unmapped:  Aligned 0 times.
## Uniq.Map.: Aligned exactly 1 time.
## Mult.Map.: Aligned >1 times.
## Overall: Overall mapping rate.
# Sample	Tot.Reads	Unmapped	Uniq.Map.	Mult.Map.	Overall
Bl0098	   881309	   45176	   374900	   461233	     94
St0049	   765334	  124883	   385941	   254510	     83
Bl0091	   744527	  117047	   374918	   252562	     84
Bl0083	   735983	   49854	   354395	   331734	     93
St0001	   684064	   33722	   282191	   368151	     95
Bl0094	   682543	   84249	   327415	   270879	     87
St0016	   622864	   80178	   297795	   244891	     87
St0044	   612501	   73316	   283302	   255883	     88
St0003	   591834	   72284	   289087	   230463	     87
Bl0104	   566692	   32069	   250147	   284476	     94
St0037	   555136	   80040	   273738	   201358	     85
Bl0095	   520390	   68865	   247607	   203918	     86
Bl0080	   476990	   64328	   226776	   185886	     86
Bl0065	   472515	   44554	   216627	   211334	     90
Bl0076	   438026	   50682	   211579	   175765	     88
Bl0116	   415959	   55575	   199399	   160985	     86
St0039	   406494	   61642	   199331	   145521	     84
Bl0093	   396297	   59703	   189377	   147217	     84
Bl0108	   383310	   47851	   179321	   156138	     87
St0015	   373615	   52606	   173196	   147813	     85
St0043	   338349	   21190	   147863	   169296	     93
St0019	   293165	   39932	   136774	   116459	     86
St0050	   263580	   38499	   124915	   100166	     85
