          clusters_total  clusters_hidepth  avg_depth_total  avg_depth_mj  avg_depth_stat  sd_depth_total  sd_depth_mj  sd_depth_stat  filtered_bad_align
BlCa0065          185068            185068         1.950018      1.950018       10.717910        3.381321     3.381321       9.742168                   0
BlCa0076          232819            232819         1.491399      1.491399       10.042369        2.331066     2.331066       9.577511                   0
BlCa0080          236411            236411         1.601190      1.601190        9.992609        2.765690     2.765690      10.005487                   0
BlCa0083          284198            284198         1.927663      1.927663       11.749739        3.660971     3.660971       9.911239                   0
BlCa0104          178397            178397         2.311154      2.311154       11.062475        4.123639     4.123639      10.310773                   0
BlCa0108          195351            195351         1.560729      1.560729        9.383030        2.508554     2.508554      10.237211                   0
BlCl0091          403601            403601         1.500685      1.500685       10.457246        2.575254     2.575254      10.496673                   0
BlCl0093          225113            225113         1.434631      1.434631        9.955518        2.219891     2.219891       9.891125                   0
BlCl0094          284649            284649         1.855689      1.855689       11.628606        3.600622     3.600622      10.166967                   0
BlCl0095          233416            233416         1.732679      1.732679       10.321323        2.999504     2.999504       8.994891                   0
BlCl0098          233201            233201         2.705233      2.705233       11.229020        4.941199     4.941199      10.883869                   0
BlCl0116          222865            222865         1.498396      1.498396        9.596403        2.348449     2.348449       9.858858                   0
StCa0001          174236            174236         2.733608      2.733608        9.613508        4.540315     4.540315      10.460275               12065
StCa0003          240445            240445         1.919212      1.919212       11.435681        3.594723     3.594723       9.611406                1123
StCa0015          215493            215493         1.392208      1.392208        9.674069        2.035000     2.035000      10.953537                   0
StCa0016          285026            285026         1.715440      1.715440       10.412555        2.972047     2.972047       8.935530                   0
StCa0019          169101            169101         1.395698      1.395698        9.431759        1.926174     1.926174      10.634216                   0
StCf0037          283788            283788         1.574446      1.574446       10.270384        2.707948     2.707948       9.777578                   0
StCf0039          218818            218818         1.525921      1.525921        9.833355        2.535407     2.535407      10.035923                   0
StCf0043          126502            126502         1.986364      1.986364        9.973087        3.414445     3.414445      11.128306                   0
StCf0044          267386            267386         1.780953      1.780953       11.109775        3.294195     3.294195      10.177883                   0
StCf0049          381284            381284         1.614337      1.614337       10.541732        2.830779     2.830779       9.212257                   0
StCf0050          162985            162985         1.335031      1.335031        9.905687        1.848478     1.848478      12.300498                2336
