          hetero_est  error_est
BlCa0065    0.008436   0.009972
BlCa0076    0.008770   0.010262
BlCa0080    0.008269   0.011289
BlCa0083    0.008113   0.010309
BlCa0104    0.007962   0.010362
BlCa0108    0.008383   0.011190
BlCl0091    0.008191   0.010398
BlCl0093    0.008565   0.010240
BlCl0094    0.008476   0.010300
BlCl0095    0.007811   0.010624
BlCl0098    0.008373   0.008788
BlCl0116    0.008375   0.009840
StCa0001    0.008325   0.008667
StCa0003    0.008162   0.010506
StCa0015    0.009525   0.011400
StCa0016    0.007788   0.010661
StCa0019    0.010091   0.010376
StCf0037    0.007909   0.010259
StCf0039    0.008145   0.010187
StCf0043    0.008845   0.010223
StCf0044    0.007898   0.010727
StCf0049    0.007366   0.010237
StCf0050    0.009965   0.011170
