          clusters_total  filtered_by_depth  filtered_by_maxH  filtered_by_maxN  reads_consens       nsites  nhetero  heterozygosity
BlCa0065        185068.0               25.0               1.0            2793.0       182249.0   87424847.0  17016.0        0.000195
BlCa0076        232819.0               13.0               0.0            1660.0       231146.0  103516185.0  10197.0        0.000099
BlCa0080        236411.0               24.0               0.0            2636.0       233751.0  109870046.0  13670.0        0.000124
BlCa0083        284198.0               31.0               0.0            4076.0       280091.0  114985946.0  27692.0        0.000241
BlCa0104        178397.0               38.0               0.0            3618.0       174741.0   76433030.0  24468.0        0.000320
BlCa0108        195351.0               19.0               0.0            1824.0       193508.0   90917811.0   9032.0        0.000099
BlCl0091        403601.0               29.0               0.0            3295.0       400277.0  197701068.0  18708.0        0.000095
BlCl0093        225113.0               13.0               0.0            1491.0       223609.0  107824775.0   8436.0        0.000078
BlCl0094        284649.0               33.0               0.0            3996.0       280620.0  135445020.0  27427.0        0.000202
BlCl0095        233416.0               25.0               0.0            3306.0       230085.0  110803577.0  18152.0        0.000164
BlCl0098        233201.0               54.0               1.0            4449.0       228697.0   98906006.0  43425.0        0.000439
BlCl0116        222865.0               17.0               0.0            1645.0       221203.0  105829571.0  10562.0        0.000100
StCa0001        174236.0               54.0               0.0            3541.0       170641.0   76458594.0  32124.0        0.000420
StCa0003        240445.0               29.0               0.0            3608.0       236808.0  115867742.0  24244.0        0.000209
StCa0015        215493.0               13.0               0.0            1183.0       214297.0  100963326.0   6230.0        0.000062
StCa0016        285026.0               24.0               0.0            3673.0       281329.0  134318959.0  22506.0        0.000168
StCa0019        169101.0               10.0               0.0             751.0       168340.0   78863350.0   4809.0        0.000061
StCf0037        283788.0               23.0               0.0            2681.0       281084.0  137833799.0  15685.0        0.000114
StCf0039        218818.0               19.0               0.0            1769.0       217030.0  106476347.0  11233.0        0.000105
StCf0043        126502.0               22.0               1.0            1823.0       124656.0   56213036.0  10140.0        0.000180
StCf0044        267386.0               26.0               0.0            3547.0       263813.0  122996341.0  20124.0        0.000164
StCf0049        381284.0               32.0               0.0            3813.0       377439.0  190234136.0  24205.0        0.000127
StCf0050        162985.0               11.0               0.0             625.0       162349.0   76631096.0   3203.0        0.000042
