          reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
BlCa0065     472518                      0                      0                   311                         0               472207
BlCa0076     438035                      0                      0                   238                         0               437797
BlCa0080     476996                      0                      0                   240                         0               476756
BlCa0083     736000                      0                      0                   437                         0               735563
BlCa0104     566695                      0                      0                   356                         0               566339
BlCa0108     383310                      0                      0                   217                         0               383093
BlCl0091     744530                      0                      0                   480                         0               744050
BlCl0093     396299                      0                      0                   222                         0               396077
BlCl0094     682543                      0                      0                   389                         0               682154
BlCl0095     520392                      0                      0                   284                         0               520108
BlCl0098     881312                      0                      0                   614                         0               880698
BlCl0116     415963                      0                      0                   238                         0               415725
StCa0001     684066                      0                      0                   504                         0               683562
StCa0003     591837                      0                      0                   355                         0               591482
StCa0015     373618                      0                      0                   245                         0               373373
StCa0016     622866                      0                      0                   361                         0               622505
StCa0019     293166                      0                      0                   182                         0               292984
StCf0037     555137                      0                      0                   350                         0               554787
StCf0039     406497                      0                      0                   243                         0               406254
StCf0043     338350                      0                      0                   195                         0               338155
StCf0044     612505                      0                      0                   347                         0               612158
StCf0049     765335                      0                      0                   459                         0               764876
StCf0050     263583                      0                      0                   153                         0               263430
