           merged_pairs  clusters_total  clusters_hidepth  avg_depth_total  avg_depth_mj  avg_depth_stat  sd_depth_total  sd_depth_mj  sd_depth_stat  filtered_bad_align
BlCa0065_      660656.0        184819.0          184819.0         2.488792      2.488792       13.210584        4.925584     4.925584       9.555177                 0.0
BlCa0076_      761716.0        229444.0          229444.0         2.262339      2.262339       12.926357        4.612473     4.612473      10.232943                 0.0
BlCa0080_      624326.0        231336.0          231336.0         1.923726      1.923726       11.483700        3.687910     3.687910       9.127065              2049.0
BlCa0083_      512497.0        114858.0          114858.0         2.857972      2.857972       12.766784        5.248207     5.248207       9.183910                 0.0
BlCa0104_      449244.0         90584.0           90584.0         3.254372      3.254372       12.337489        5.815770     5.815770       9.804057                 0.0
BlCa0108_      538678.0        195107.0          195107.0         2.009820      2.009820       10.898108        3.705018     3.705018       8.664423                 0.0
BlCl0091_      806618.0        383671.0          383671.0         1.626816      1.626816       12.090514        3.108051     3.108051       9.011212                 0.0
BlCl0093_      922295.0        388196.0          388196.0         1.787937      1.787937       13.372797        3.773641     3.773641      10.214492                 0.0
BlCl0094_      613798.0        219210.0          219210.0         1.979266      1.979266       12.515211        3.967012     3.967012       9.599863                 0.0
BlCl0095_      561061.0        209380.0          209380.0         1.909041      1.909041       11.767253        3.720233     3.720233       9.358191                 0.0
BlCl0098_      450014.0         96953.0           96953.0         3.061968      3.061968       13.171606        5.803937     5.803937      10.306893              5387.0
BlCl0116_      576709.0        241879.0          241879.0         1.803852      1.803852       11.033559        3.362826     3.362826       8.798796                 0.0
StCa0001_      540207.0         95543.0           95543.0         3.708718      3.708718       12.566152        6.175232     6.175232       9.188133                 0.0
StCa0003_      686087.0        223387.0          223387.0         2.234893      2.234893       13.518173        4.543934     4.543934       9.556758                 0.0
StCa0015_      623638.0        266807.0          266807.0         1.705364      1.705364       10.415314        3.140792     3.140792       9.262020                 0.0
StCa0016_      552734.0        214474.0          214474.0         1.880018      1.880018       11.418651        3.566016     3.566016       8.916383                 0.0
StCa0019_      618992.0        246972.0          246972.0         1.802925      1.802925       10.336448        3.301861     3.301861       8.804645                 0.0
StCf0037_      578718.0        243134.0          243134.0         1.761115      1.761115       11.340134        3.376782     3.376782       9.288697                 0.0
StCf0039_      618218.0        263634.0          263634.0         1.753408      1.753408       11.155706        3.368360     3.368360       9.583707              5937.0
StCf0043_      532770.0         95398.0           95398.0         3.767322      3.767322       12.225347        6.301574     6.301574       9.506511              1225.0
StCf0044_      686564.0        234687.0          234687.0         2.128814      2.128814       12.922182        4.396580     4.396580      10.444124              6893.0
StCf0049_      448514.0        227796.0          227796.0         1.543671      1.543671       10.432646        2.753318     2.753318       9.420708              1035.0
StCf0050_      535692.0        233108.0          233108.0         1.685678      1.685678       10.037545        3.234046     3.234046      10.558064                 0.0
