           hetero_est  error_est
BlCa0065_    0.016859   0.023523
BlCa0076_    0.016146   0.023178
BlCa0080_    0.017262   0.024727
BlCa0083_    0.017495   0.023202
BlCa0104_    0.017042   0.024653
BlCa0108_    0.015623   0.024923
BlCl0091_    0.017671   0.024187
BlCl0093_    0.017187   0.023018
BlCl0094_    0.017188   0.023943
BlCl0095_    0.017263   0.025393
BlCl0098_    0.017802   0.024005
BlCl0116_    0.016054   0.023230
StCa0001_    0.016683   0.023741
StCa0003_    0.017665   0.023126
StCa0015_    0.015993   0.026341
StCa0016_    0.017975   0.024940
StCa0019_    0.015438   0.024185
StCf0037_    0.016278   0.023079
StCf0039_    0.015651   0.023552
StCf0043_    0.017030   0.023980
StCf0044_    0.017868   0.024606
StCf0049_    0.016697   0.024737
StCf0050_    0.015543   0.024734
