           clusters_total  filtered_by_depth  filtered_by_maxH  filtered_by_maxN  reads_consens       nsites  nhetero  heterozygosity
BlCa0065_        184819.0               34.0               0.0            8700.0       176085.0  105156595.0  39960.0        0.000380
BlCa0076_        229444.0               47.0               0.0            8708.0       220689.0  131774216.0  41677.0        0.000316
BlCa0080_        231336.0               32.0               0.0            8360.0       222944.0  133559992.0  28343.0        0.000212
BlCa0083_        114858.0               20.0               0.0            6997.0       107841.0   64537177.0  31361.0        0.000486
BlCa0104_         90584.0               32.0               0.0            7319.0        83233.0   49930179.0  28976.0        0.000580
BlCa0108_        195107.0               31.0               0.0            8028.0       187048.0  112264702.0  25517.0        0.000227
BlCl0091_        383671.0               37.0               0.0            8379.0       375255.0  224450893.0  34635.0        0.000154
BlCl0093_        388196.0               49.0               0.0            9296.0       378851.0  226606904.0  46003.0        0.000203
BlCl0094_        219210.0               30.0               0.0            7251.0       211929.0  126554195.0  30758.0        0.000243
BlCl0095_        209380.0               25.0               0.0            7220.0       202135.0  120701629.0  25389.0        0.000210
BlCl0098_         96953.0               27.0               0.0            6227.0        90699.0   54306133.0  28874.0        0.000532
BlCl0116_        241879.0               28.0               0.0            7014.0       234837.0  140688940.0  25581.0        0.000182
StCa0001_         95543.0               37.0               0.0            8614.0        86892.0   52148143.0  37107.0        0.000712
StCa0003_        223387.0               31.0               0.0            8535.0       214821.0  128926197.0  40644.0        0.000315
StCa0015_        266807.0               33.0               0.0            7868.0       258906.0  154859692.0  22615.0        0.000146
StCa0016_        214474.0               25.0               0.0            7381.0       207068.0  123653713.0  25188.0        0.000204
StCa0019_        246972.0               32.0               0.0            8038.0       238902.0  142663547.0  25055.0        0.000176
StCf0037_        243134.0               29.0               0.0            6600.0       236505.0  141693817.0  23909.0        0.000169
StCf0039_        263634.0               33.0               0.0            6785.0       256816.0  153862738.0  25696.0        0.000167
StCf0043_         95398.0               48.0               0.0            9469.0        85881.0   51553984.0  37016.0        0.000718
StCf0044_        234687.0               41.0               0.0            8998.0       225648.0  135420978.0  36993.0        0.000273
StCf0049_        227796.0               21.0               0.0            4790.0       222985.0  133382584.0  14867.0        0.000111
StCf0050_        233108.0               36.0               0.0            6302.0       226770.0  135644490.0  18717.0        0.000138
