           reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
BlCa0065_     662121                      0                      0                      0                      0                  1396                        69               660656
BlCa0076_     763184                      0                      0                      0                      0                  1403                        65               761716
BlCa0080_     625675                      0                      0                      0                      0                  1307                        42               624326
BlCa0083_     513784                      0                      0                      0                      0                  1218                        69               512497
BlCa0104_     450342                      0                      0                      0                      0                  1046                        52               449244
BlCa0108_     539784                      0                      0                      0                      0                  1063                        43               538678
BlCl0091_     808397                      0                      0                      0                      0                  1697                        82               806618
BlCl0093_     924120                      0                      0                      0                      0                  1728                        97               922295
BlCl0094_     615302                      0                      0                      0                      0                  1432                        72               613798
BlCl0095_     562350                      0                      0                      0                      0                  1228                        61               561061
BlCl0098_     451187                      0                      0                      0                      0                  1121                        52               450014
BlCl0116_     577908                      0                      0                      0                      0                  1147                        52               576709
StCa0001_     541459                      0                      0                      0                      0                  1196                        56               540207
StCa0003_     687617                      0                      0                      0                      0                  1465                        65               686087
StCa0015_     624934                      0                      0                      0                      0                  1235                        61               623638
StCa0016_     554031                      0                      0                      0                      0                  1223                        74               552734
StCa0019_     620222                      0                      0                      0                      0                  1163                        67               618992
StCf0037_     580051                      0                      0                      0                      0                  1280                        53               578718
StCf0039_     619490                      0                      0                      0                      0                  1220                        52               618218
StCf0043_     533824                      0                      0                      0                      0                  1016                        38               532770
StCf0044_     688064                      0                      0                      0                      0                  1423                        77               686564
StCf0049_     449744                      0                      0                      0                      0                  1184                        46               448514
StCf0050_     536736                      0                      0                      0                      0                  1012                        32               535692
